pipeline_name	Neisseria pipeline
pipeline_version	1.2
sample	S19BD01485
input_files	S19BD01485_1.fastq.gz, S19BD01485_2.fastq.gz
analysis_date	07/07/2022 - 13:21:39
detection_method	blast
downsampling_coverage_estimated	45.72
downsampling_coverage_target	100.00
downsampling_downsample_factor	None
downsampling_mean_read_length	234.21
downsampling_nb_read_pairs_in	210589
downsampling_nb_read_pairs_out	210589
downsampling_size_ref_genome	2157444
downsampling_total_bases	98642183
trimming_pairs_in	210589
trimming_pairs_out	191513
trimming_fwd_only_surviving	16157
trimming_rev_only_surviving	998
trimming_pairs_both_dropped	1921
assembly_n50	54045
assembly_nb_contigs	107
assembly_total_length	2127902
qc_kraken_status	OK
qc_kraken_value	0.00%
qc_cgmlst_status	OK
qc_cgmlst_value	95.89%
qc_cov_assembly_status	OK
qc_cov_assembly_value	37.00x
qc_map_rate_assembly_status	OK
qc_map_rate_assembly_value	99.37%
qc_fqc_avg_qual_fwd_status	OK
qc_fqc_avg_qual_fwd_value	36
qc_fqc_avg_qual_rev_status	OK
qc_fqc_avg_qual_rev_value	36
qc_fqc_gc_fwd_status	OK
qc_fqc_gc_fwd_value	0.50%
qc_fqc_gc_rev_status	OK
qc_fqc_gc_rev_value	0.50%
qc_fqc_n_fraction_fwd_status	OK
qc_fqc_n_fraction_fwd_value	0.0002
qc_fqc_n_fraction_rev_status	OK
qc_fqc_n_fraction_rev_value	0.0000
qc_fqc_per_base_fwd_status	OK
qc_fqc_per_base_fwd_value	0.32%
qc_fqc_per_base_rev_status	OK
qc_fqc_per_base_rev_value	0.80%
qc_fqc_qscore_fwd_status	OK
qc_fqc_qscore_fwd_value	inf
qc_fqc_qscore_rev_status	OK
qc_fqc_qscore_rev_value	inf
qc_fqc_seq_len_fwd_status	OK
qc_fqc_seq_len_fwd_value	100.00%
qc_fqc_seq_len_rev_status	OK
qc_fqc_seq_len_rev_value	88.45%
kraken2_expected_species	Neisseria meningitidis
kraken2_expected_species_occurrence	91.57
kraken2_contaminants_warn	[]
kraken2_contaminants_fail	[]
hits_resfinder	[]
hits_card	[["Cluster_214", "mtrC", "97.82", "1239/1239", "NODE_20_length_38607_cov_18.664137", "7570..8808", "AE002098.2"], ["Cluster_269", "macA", "96.52", "1179/1179", "NODE_22_length_36407_cov_15.040298", "28496..29674", "AY768531.1"], ["Cluster_5", "mtrD", "98.00", "3204/3204", "NODE_20_length_38607_cov_18.664137", "4355..7558", "AE002098.2"], ["Cluster_304", "farA", "98.53", "1155/1155", "NODE_10_length_65801_cov_16.837409", "16848..18002", "AE002098.2"], ["Cluster_130", "farB", "95.68", "1527/1527", "NODE_10_length_65801_cov_16.837409", "18026..19552", "AE002098.2"], ["Cluster_168", "mtrE", "94.45", "1405/1404", "NODE_20_length_38607_cov_18.664137", "2897..4300", "X95635.1"], ["Cluster_63", "macB", "97.36", "1935/1935", "NODE_22_length_36407_cov_15.040298", "29740..31674", "AY768532.1"]]
hits_argannot	[]
hits_ncbi_amr	[["Cluster_111", "norM", "95.00", "1380/1380", "NODE_3_length_101044_cov_15.743661", "52408..53787", "Efflux", "GG749401.1"], ["Cluster_801", "mtrR", "97.00", "633/633", "NODE_20_length_38607_cov_18.664137", "9212..9844", "Efflux", "Z25797.1"], ["Cluster_137", "mtrC", "94.11", "1239/1239", "NODE_20_length_38607_cov_18.664137", "7570..8808", "Efflux", "U14993.1"], ["Cluster_386", "mtrA", "94.48", "906/906", "NODE_26_length_31813_cov_15.155400", "25129..26034", "Efflux", "AF128627.1"], ["Cluster_79", "farB", "93.71", "1527/1524", "NODE_10_length_65801_cov_16.837409", "18026..19552", "Efflux", "AF132910.1"]]
mlst-ST	16461
mlst-clonal_complex
mlst-percent_detected	100.0
mlst-abcZ	abcZ,10,100.00,433/433,DNA
mlst-adk	adk,6,100.00,465/465,DNA
mlst-aroE	aroE,6,100.00,490/490,DNA
mlst-fumC	fumC,17,100.00,465/465,DNA
mlst-gdh	gdh,8,100.00,501/501,DNA
mlst-pdhC	pdhC,9,100.00,480/480,DNA
mlst-pgm	pgm,8,100.00,450/450,DNA
rplf-rplF_id	109
rplf-genospecies	Neisseria meningitidis
rplf-comments	Confirmed
rplf-percent_detected	100.0
rplf-'rplF	'rplF,109,100.00,413/413,DNA
bast-BAST	-
bast-MenDeVAR_Bexsero_reactivity	-
bast-MenDeVAR_Trumenba_reactivity	-
bast-percent_detected	80.0
bast-fHbp_peptide	fHbp_peptide,321,100.00,260/260,peptide
bast-NHBA_peptide	NHBA_peptide,243,100.00,426/426,peptide
bast-NadA_peptide	NadA_peptide,?,-,-,peptide
bast-PorA_VR1	PorA_VR1,5-2,100.00,12/12,peptide
bast-PorA_VR2	PorA_VR2,10-1,100.00,15/15,peptide
pora-PorA_VR1	PorA_VR1,5-2,100.00,12/12,peptide
pora-PorA_VR2	PorA_VR2,10-1,100.00,15/15,peptide
porb-porB	porB,1386,100.00,1068/1068,DNA
feta-FetA	FetA,F5-8,100.00,42/42,peptide
fhbp-fHbp_allele	fHbp_allele,380,100.00,780/780,DNA
fhbp-fHbp_DNAfrag_Pasteur	fHbp_DNAfrag_Pasteur,157,100.00,465/465,DNA
fhbp-fHbp_PEPTIDEfrag_Pasteur	fHbp_PEPTIDEfrag_Pasteur,126,100.00,155/155,peptide
fhbp-FHbp_segment_E	FHbp_segment_E,E1.68,100.00,68/68,peptide
fhbp-FHbp_segment_D	FHbp_segment_D,D1.1,100.00,19/19,peptide
fhbp-FHbp_segment_C	FHbp_segment_C,C1.36,100.00,62/62,peptide
fhbp-FHbp_segment_B	FHbp_segment_B,B1.1,100.00,15/15,peptide
