pipeline_name	Listeria pipeline
pipeline_version	1.2
sample	Listeria-S16BD02199
input_files	Listeria-S16BD02199_1.fastq.gz, Listeria-S16BD02199_2.fastq.gz
analysis_date	18/05/2022 - 09:27:35
detection_method	blast
downsampling_coverage_estimated	21.74
downsampling_coverage_target	100.00
downsampling_downsample_factor	None
downsampling_mean_read_length	237.51
downsampling_nb_read_pairs_in	134733
downsampling_nb_read_pairs_out	134733
downsampling_size_ref_genome	2944528
downsampling_total_bases	64001020
trimming_pairs_in	134733
trimming_pairs_out	126261
trimming_fwd_only_surviving	7206
trimming_rev_only_surviving	532
trimming_pairs_both_dropped	734
assembly_n50	244231
assembly_nb_contigs	23
assembly_total_length	2920195
qc_kraken_status	OK
qc_kraken_value	0.00%
qc_cgmlst_status	OK
qc_cgmlst_value	99.94%
qc_cov_assembly_status	Warning
qc_cov_assembly_value	18.00x
qc_map_rate_assembly_status	OK
qc_map_rate_assembly_value	99.62%
qc_fqc_avg_qual_fwd_status	OK
qc_fqc_avg_qual_fwd_value	36
qc_fqc_avg_qual_rev_status	OK
qc_fqc_avg_qual_rev_value	35
qc_fqc_gc_fwd_status	OK
qc_fqc_gc_fwd_value	0.00%
qc_fqc_gc_rev_status	OK
qc_fqc_gc_rev_value	0.00%
qc_fqc_n_fraction_fwd_status	OK
qc_fqc_n_fraction_fwd_value	0.0000
qc_fqc_n_fraction_rev_status	OK
qc_fqc_n_fraction_rev_value	0.0000
qc_fqc_per_base_fwd_status	OK
qc_fqc_per_base_fwd_value	0.45%
qc_fqc_per_base_rev_status	OK
qc_fqc_per_base_rev_value	0.88%
qc_fqc_qscore_fwd_status	OK
qc_fqc_qscore_fwd_value	inf
qc_fqc_qscore_rev_status	OK
qc_fqc_qscore_rev_value	250
qc_fqc_seq_len_fwd_status	OK
qc_fqc_seq_len_fwd_value	100.00%
qc_fqc_seq_len_rev_status	OK
qc_fqc_seq_len_rev_value	88.45%
kraken2_expected_species	Listeria monocytogenes
kraken2_expected_species_occurrence	97.45
kraken2_contaminants_warn	[]
kraken2_contaminants_fail	[]
